31,JF Kitchen,15,10,"1710 Midland Ave,Scarborough, ON M1P 3C7",TEL:416.285.8883,FAX:416.607.6810,,NULL,NULL,NULL
32,Kam City Renovation Ltd,10,5,,TEL:416.818.7939,,,NULL,NULL,NULL
33,Kitchen Pro,15,15,"23 West Beaver Creek Road, Unit 5 & 6, Richmond Hill",TEL:  905-597-1618  ,FAX: 905-597-0880,,NULL,NULL,NULL
34,LCC Ontario Inc (LCC Kitchen),10,10,"1361 Huntingwood Drive,Unit #2,Scarborough",TEL:416.293.2088 ,FAX:416.293.2087,,NULL,NULL,NULL
35,Legend Custom Kitchen Design Inc.,10,5,170 Finchdene Sq.Unit 6. Toronto ON  M1X 1B3,TEL:416.939.5424   ,FAX:416.298.7712,,NULL,NULL,NULL
36,Lucky Kitchen Design Ltd,10,5,"11 Progress Ave.Unit#13  Scarough,M1P 4S9",TEL:647.351.6666    ,FAX:647.351.9266,,NULL,NULL,NULL
37,L-Wood Kitchen Ltd,10,5,"77 Milliken, Scarborough, ON M1V 1V3",TEL:416.828.7128,,,NULL,NULL,NULL
38,Maple Furniture Inc,15,10,"400 Finchdene Sq, Unit19, Toronto, ON, M1X 1E2",TEL:416.913.4420,FAX:4169134421,,NULL,NULL,NULL
39,MB Wood Working Kitchen & Bath,10,5,"151 Nashdene Rd, Unit29, Scarb. On, M1V 4C2",TEL:416.291.2748,FAX:416.291.7379,,NULL,NULL,NULL
40,M-Wood Kitchen Ltd,10,10,70 Weybright Crt Unit 1 Scarborough ON M1S 4E4,TEL:416.297.8683,FAX:416.297.8601,,NULL,NULL,NULL
41,New Golden Leaf Group Inc,10,5,951 Denison St Markham ON L3R 3W9,TEL:905.940.1448,,,NULL,NULL,NULL
42,Olympic Woodwork,10,5,"14-1680 Midland Ave, Scarborough, ON ",TEL: 416.827.9290  ,FAX:416.752.2700,,NULL,NULL,NULL
43,Onwood Kitchen,10,10,"383 Midwest, Scarborough, ON M1P 3A6",TEL:416.750.8392,FAX:416.750.8394,,NULL,NULL,NULL
44,Premium Group Inc,10,5,"130 Riviera Dr, Unit 2-3, Makharm On L3R5M1",TEL:905.513.7188,FAX:905.940.1919,,NULL,NULL,NULL
45,Primo Custom Cab Inc.,10,5,6965 Davande Dr.#728 Mississauga ON,TEL:647.500.0029,FAX:905.795.1909     ,,NULL,NULL,NULL
46,QCL Woodwork & Kitchen,5,5,,TEL:416.666.6314,,,NULL,NULL,NULL
47,Rocpal Custom Cabinets & Wood,10,5,"486 Waterloo Court Oshawa, Ontario. L1H 3X1",TEL:905-432-2066,FAX: 905-432-9988,,NULL,NULL,NULL
48,Super Affordable Kitchens,10,5,"8 Wentworth St E, Oshawa, ON L1H 3V9",TEL:416.660.3218,,,NULL,NULL,NULL
49,S-Wood Kitchen Ltd,10,5,3015 Kennedy Road Toronto ON M1V 1E7,TEL:416.800.3221,,,NULL,NULL,NULL
50,TAL Wood Products Inc.,0,0,www.talwoodproducts.com,TEL:905 669 9663 CELL:647-829-8658  ,FAX:905 669 0015,,NULL,NULL,NULL
51,Thanus Kitchen,10,5,"370 Tapscott Rd,Unit B,Scarborough,ON  M1B 3C4",CEL:416.754.2844,TEL:647.721.2844,,NULL,NULL,NULL
52,The Wood Workshop,10,5,27 Passmore Ave Unit 5 Scarborough M1V 4T4,TEL: 416.662.9562,FAX:647.350.8686,,NULL,NULL,NULL
53,Top Cabinetry Inc,10,5,"110 Denison St., Unit 2,Markham ON L3R 1B6",TEL:905.470.6866,FAX:905-470-6865,,NULL,NULL,NULL
54,Trinity 4D Kitchen  & Bath Ltd.,15,15,315 Progress Ave. Scarborough  On.,TEL:416.609.3838   ,FAX:416.609.3833,,NULL,NULL,NULL
55,Wewood Kitchen Ltd.,10,5,"3015 Kennedy Rd Scarborough, ON M1V 1E7",TEL:416.800.8118,FAX:416.800.3221,,NULL,NULL,NULL
56,Wonder kitchen ,5,5,"34 Golden Gate,Unit 2-3 , Scarb. On.",TEL:416.335.9788,FAX:416.335.9738,,NULL,NULL,NULL
57,EAGLASS,0,0,,TEL: 647 7094073,,,NULL,NULL,NULL
58,N.J.L. HOME LTD,5,0,,TEL:647 988 7818,,,NULL,NULL,NULL
59,Bright wood kitchen & flooring,0,0,,TEL:416 754 2844 CELL:4168305915,,,NULL,NULL,NULL
